,Volume (L),X_B,y_B,y_D,y_H,y_T
24,240.0,0.4148353811983525,0.5851646188016474,0.18126790398925688,0.21613428613581606,0.017433191073279595
25,250.0,0.4225585053685187,0.5774414946314812,0.18376663271377464,0.22045012600775427,0.018341746646989825
26,260.0,0.4298533101489262,0.5701466898510738,0.18605823473291153,0.22454946185498031,0.019245613561034405
27,270.0,0.43674367049204255,0.5632563295079573,0.18815565479634877,0.22844389539591217,0.020144120299781708
28,280.0,0.4432527228463268,0.5567472771536731,0.19007142294770482,0.23214467424831634,0.02103662565030577
29,290.0,0.4494028651562288,0.5505971348437712,0.19181765452453503,0.23566269192930756,0.021922518702386276
30,300.0,0.4552157568621894,0.5447842431378105,0.19340605015833187,0.239008487855349,0.022801218848508574
31,310.0,0.4607123189006408,0.5392876810993591,0.19484789577452497,0.24219224734225228,0.023672175783863648
32,320.0,0.46591273370400627,0.5340872662959936,0.19615406259248094,0.24522380160517723,0.02453486950634815
33,330.0,0.4708364452007,0.5291635547992999,0.19733500712550345,0.24811262775863221,0.02538881031656437
34,340.0,0.4755021588151272,0.5244978411848727,0.19840077118083327,0.25086784881647384,0.02623353881782026
35,350.0,0.4799278414676845,0.5200721585323154,0.19936098185964818,0.25349823369190705,0.027068625916129418
36,360.0,0.48413056863728415,0.5158694313627157,0.2002246927402605,0.25601214817810264,0.027893727718921065
37,370.0,0.48812277668430054,0.5118772233156994,0.20099743523171107,0.25841603937896335,0.028709302073626167
38,380.0,0.4919133724090629,0.5080866275909369,0.20168329786532824,0.26071448231759925,0.02951559222613551
39,390.0,0.49551118414056206,0.5044888158594378,0.20228660933127574,0.26291191964994953,0.030312655159336906
40,400.0,0.498924903298344,0.5010750967016558,0.20281163465919158,0.26501272397916553,0.031100544659986983
41,410.0,0.5021630843925102,0.4978369156074897,0.20326257521818836,0.26702119785561074,0.03187931131871121
42,420.0,0.5052341450237176,0.4947658549762824,0.20364356871685305,0.26894157377686073,0.03264900253000386
43,430.0,0.5081463658831782,0.49185363411682176,0.2039586892032471,0.27077801418770314,0.03340966249222803
44,440.0,0.5109078907526599,0.48909210924734,0.20421194706490645,0.2725346114801378,0.03416133220761568
